GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,LoggingBigQueryTracerFactory,4,15,0,0,2,4,1,2,1,2
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,ArrowReaderIterator,67,0,8,0,24,0,9,0,5,0
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,ReadSessionCreatorConfigBuilder,0,244,0,0,0,73,0,26,0,26
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,BigQueryClient,552,1316,43,85,106,301,50,85,17,54
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,QueryParameterHelper,31,76,6,0,4,20,7,7,4,7
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,ParallelArrowReader,543,0,34,0,136,0,26,0,9,0
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,BigQueryPushdownException,11,0,0,0,4,0,2,0,2,0
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,BigQueryProxyTransporterBuilder.new ApiFunction() {...},19,0,0,0,2,0,2,0,2,0
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,ReadRowsHelper,14,86,2,2,4,26,4,5,2,5
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,BigQueryConfigurationUtil,102,165,5,5,25,37,9,20,5,19
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,ReadSessionCreatorConfig,12,147,0,0,4,51,4,22,4,22
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,ReadRowsResponseInputStreamEnumeration,12,66,1,7,3,18,1,7,0,4
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,BigQueryConnectorException.SerializableStatusException,55,0,0,0,13,0,5,0,5,0
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,BigQueryClientFactory,99,331,15,21,29,94,16,20,2,16
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,BigQueryDirectDataWriterHelper,160,441,14,22,29,121,12,24,0,18
Coverage Report/bigquery-connector-common,com.google.cloud.bigquery.connector.common,EnvironmentContext,0,9,0,0,0,4,0,2,0,2
